ingredient,allergy_class,severity,cross_react_class,clinical_source
amoxicillin,penicillin,Major,beta-lactam,FDA label / NIAID 2010 Guidelines
ampicillin,penicillin,Major,beta-lactam,FDA label / NIAID 2010 Guidelines
piperacillin,penicillin,Major,beta-lactam,FDA label / NIAID 2010 Guidelines
oxacillin,penicillin,Major,beta-lactam,FDA label / NIAID 2010 Guidelines
nafcillin,penicillin,Major,beta-lactam,FDA label / NIAID 2010 Guidelines
dicloxacillin,penicillin,Major,beta-lactam,FDA label / NIAID 2010 Guidelines
cloxacillin,penicillin,Major,beta-lactam,FDA label / NIAID 2010 Guidelines
amoxicillin-clavulanate,penicillin,Major,beta-lactam,FDA label / NIAID 2010 Guidelines
ampicillin-sulbactam,penicillin,Major,beta-lactam,FDA label / NIAID 2010 Guidelines
piperacillin-tazobactam,penicillin,Major,beta-lactam,FDA label / NIAID 2010 Guidelines
ticarcillin-clavulanate,penicillin,Major,beta-lactam,FDA label / NIAID 2010 Guidelines
cephalexin,penicillin,Moderate,beta-lactam,AAAAI/ACAAI 2014 Practice Parameter
cefazolin,penicillin,Moderate,beta-lactam,AAAAI/ACAAI 2014 Practice Parameter
cefadroxil,penicillin,Moderate,beta-lactam,AAAAI/ACAAI 2014 Practice Parameter
cefuroxime,penicillin,Moderate,beta-lactam,AAAAI/ACAAI 2014 Practice Parameter
cefprozil,penicillin,Moderate,beta-lactam,AAAAI/ACAAI 2014 Practice Parameter
cefaclor,penicillin,Moderate,beta-lactam,AAAAI/ACAAI 2014 Practice Parameter
cefdinir,penicillin,Moderate,beta-lactam,AAAAI/ACAAI 2014 Practice Parameter
cefixime,penicillin,Moderate,beta-lactam,AAAAI/ACAAI 2014 Practice Parameter
cefpodoxime,penicillin,Moderate,beta-lactam,AAAAI/ACAAI 2014 Practice Parameter
ceftriaxone,penicillin,Moderate,beta-lactam,AAAAI/ACAAI 2014 Practice Parameter
cefotaxime,penicillin,Moderate,beta-lactam,AAAAI/ACAAI 2014 Practice Parameter
ceftazidime,penicillin,Moderate,beta-lactam,AAAAI/ACAAI 2014 Practice Parameter
cefepime,penicillin,Moderate,beta-lactam,AAAAI/ACAAI 2014 Practice Parameter
ceftaroline,penicillin,Moderate,beta-lactam,AAAAI/ACAAI 2014 Practice Parameter
cefoxitin,penicillin,Moderate,beta-lactam,AAAAI/ACAAI 2014 Practice Parameter
cefotetan,penicillin,Moderate,beta-lactam,AAAAI/ACAAI 2014 Practice Parameter
meropenem,penicillin,Moderate,beta-lactam,AAAAI/ACAAI 2014 Practice Parameter
imipenem-cilastatin,penicillin,Moderate,beta-lactam,AAAAI/ACAAI 2014 Practice Parameter
ertapenem,penicillin,Moderate,beta-lactam,AAAAI/ACAAI 2014 Practice Parameter
doripenem,penicillin,Moderate,beta-lactam,AAAAI/ACAAI 2014 Practice Parameter
aztreonam,penicillin,Minor,beta-lactam,FDA label / AAAAI 2014
cephalexin,cephalosporin,Major,beta-lactam,FDA label / AAAAI/ACAAI 2014
cefazolin,cephalosporin,Major,beta-lactam,FDA label / AAAAI/ACAAI 2014
cefadroxil,cephalosporin,Major,beta-lactam,FDA label / AAAAI/ACAAI 2014
cefuroxime,cephalosporin,Major,beta-lactam,FDA label / AAAAI/ACAAI 2014
cefprozil,cephalosporin,Major,beta-lactam,FDA label / AAAAI/ACAAI 2014
cefaclor,cephalosporin,Major,beta-lactam,FDA label / AAAAI/ACAAI 2014
cefdinir,cephalosporin,Major,beta-lactam,FDA label / AAAAI/ACAAI 2014
cefixime,cephalosporin,Major,beta-lactam,FDA label / AAAAI/ACAAI 2014
cefpodoxime,cephalosporin,Major,beta-lactam,FDA label / AAAAI/ACAAI 2014
ceftriaxone,cephalosporin,Major,beta-lactam,FDA label / AAAAI/ACAAI 2014
cefotaxime,cephalosporin,Major,beta-lactam,FDA label / AAAAI/ACAAI 2014
